invoice_id,customer_id,territory,invoice_date,amount_inr
SINV-42692,CUST-04351,Hyderabad,2024-11-21,5209
SINV-55716,CUST-05275,Coimbatore,2024-02-17,9133
SINV-15931,CUST-05275,Coimbatore,2024-01-10,6680
SINV-95553,CUST-05275,Coimbatore,2024-11-14,7863
SINV-51023,CUST-05275,Coimbatore,2024-08-29,6096
SINV-88819,CUST-05275,Coimbatore,2025-01-21,4101
SINV-19273,CUST-05275,Coimbatore,2024-06-30,5197
SINV-54010,CUST-11251,Mumbai,2024-07-11,17874
SINV-71816,CUST-11251,Mumbai,2023-09-19,8618
SINV-89566,CUST-11251,Mumbai,2024-07-18,12497
SINV-40347,CUST-11251,Mumbai,2024-01-27,12478
SINV-89413,CUST-11251,Mumbai,2024-11-06,10790
SINV-69059,CUST-12143,Coimbatore,2023-07-23,2896
SINV-77621,CUST-12143,Coimbatore,2023-07-28,4442
SINV-82366,CUST-12143,Coimbatore,2023-07-24,3932
SINV-76644,CUST-12143,Coimbatore,2023-07-27,3517
SINV-38036,CUST-12143,Coimbatore,2023-07-22,2097
SINV-35926,CUST-12143,Coimbatore,2023-07-18,3339
SINV-75849,CUST-06720,Mumbai,2024-05-03,12534
SINV-43282,CUST-06720,Mumbai,2023-10-04,6819
SINV-28791,CUST-06720,Mumbai,2023-08-11,11144
SINV-25496,CUST-01144,Coimbatore,2025-02-12,3508
SINV-33001,CUST-01144,Coimbatore,2024-08-04,2839
SINV-37994,CUST-01144,Coimbatore,2024-03-28,4979
SINV-92372,CUST-01144,Coimbatore,2024-12-25,3353
SINV-82470,CUST-01144,Coimbatore,2023-11-05,2226
SINV-54581,CUST-01144,Coimbatore,2024-04-30,4233
SINV-42047,CUST-01891,Chennai,2023-08-22,9483
SINV-58133,CUST-01891,Chennai,2023-08-14,5676
SINV-16065,CUST-01891,Chennai,2024-01-08,11568
SINV-64679,CUST-01891,Chennai,2024-02-05,5609
SINV-67956,CUST-01891,Chennai,2024-06-08,12494
SINV-96790,CUST-01891,Chennai,2023-12-31,12804
SINV-94365,CUST-07355,Mumbai,2023-07-12,10377
SINV-88646,CUST-07355,Mumbai,2024-04-03,14868
SINV-70842,CUST-07355,Mumbai,2023-10-12,14992
SINV-39924,CUST-02471,Ahmedabad,2023-10-21,15846
SINV-56101,CUST-02471,Ahmedabad,2024-05-07,23612
SINV-76282,CUST-02471,Ahmedabad,2024-03-19,24312
SINV-34757,CUST-02471,Ahmedabad,2024-05-19,19307
SINV-86924,CUST-02471,Ahmedabad,2023-07-27,16127
SINV-59202,CUST-02471,Ahmedabad,2024-05-09,20950
SINV-68734,CUST-05131,Chennai,2024-02-19,1431
SINV-51873,CUST-05131,Chennai,2024-08-15,2197
SINV-67436,CUST-05131,Chennai,2025-03-13,1728
SINV-61214,CUST-05131,Chennai,2024-04-29,1440
SINV-67140,CUST-05131,Chennai,2024-07-07,1211
SINV-64770,CUST-05131,Chennai,2025-04-26,2111
SINV-50213,CUST-09597,Chennai,2024-10-02,1950
SINV-56759,CUST-09597,Chennai,2024-05-28,1144
SINV-78737,CUST-09597,Chennai,2024-09-26,1743
SINV-99564,CUST-09597,Chennai,2024-03-08,1094
SINV-84160,CUST-09597,Chennai,2023-12-22,1546
SINV-57991,CUST-09597,Chennai,2024-11-28,1269
SINV-46018,CUST-14528,Mumbai,2024-07-07,6360
SINV-72323,CUST-14528,Mumbai,2025-03-06,7264
SINV-19888,CUST-14528,Mumbai,2024-12-20,8234
SINV-78172,CUST-14528,Mumbai,2024-04-29,7403
SINV-14948,CUST-14528,Mumbai,2025-04-30,12077
SINV-80186,CUST-01266,Chennai,2024-03-14,3286
SINV-20805,CUST-01266,Chennai,2024-08-29,4019
SINV-64972,CUST-01266,Chennai,2024-01-27,2632
SINV-12599,CUST-01266,Chennai,2023-12-03,3524
SINV-17152,CUST-10251,Coimbatore,2024-07-11,4031
SINV-63726,CUST-10251,Coimbatore,2024-05-16,3011
SINV-67930,CUST-10251,Coimbatore,2024-01-17,4529
SINV-77603,CUST-10251,Coimbatore,2024-03-13,2931
SINV-66542,CUST-15121,Coimbatore,2024-07-15,23218
SINV-84740,CUST-15121,Coimbatore,2024-09-15,34630
SINV-86983,CUST-15121,Coimbatore,2024-03-29,31876
SINV-54194,CUST-15121,Coimbatore,2024-07-03,16781
SINV-54475,CUST-15121,Coimbatore,2025-03-24,30240
SINV-10721,CUST-15121,Coimbatore,2024-07-29,22669
SINV-31358,CUST-05667,Mumbai,2024-02-22,73248
SINV-34438,CUST-05667,Mumbai,2025-02-08,64430
SINV-75514,CUST-05667,Mumbai,2025-03-04,42644
SINV-17515,CUST-05667,Mumbai,2024-08-01,73213
SINV-61875,CUST-05667,Mumbai,2025-02-12,61402
SINV-55214,CUST-05667,Mumbai,2025-01-02,75543
SINV-26221,CUST-03101,Mumbai,2023-07-20,4776
SINV-89723,CUST-03101,Mumbai,2023-12-01,3808
SINV-95499,CUST-03101,Mumbai,2023-08-18,3814
SINV-61185,CUST-03101,Mumbai,2023-11-24,2628
SINV-87637,CUST-03101,Mumbai,2024-02-24,5073
SINV-16478,CUST-03101,Mumbai,2023-08-11,2703
SINV-76213,CUST-00442,Chennai,2024-03-29,37094
SINV-60811,CUST-00442,Chennai,2023-07-05,81939
SINV-65574,CUST-00442,Chennai,2023-07-16,37105
SINV-44187,CUST-00442,Chennai,2023-07-03,50725
SINV-85539,CUST-00442,Chennai,2023-10-08,71712
SINV-73775,CUST-00442,Chennai,2024-04-02,76794
SINV-68062,CUST-12161,Hyderabad,2023-08-13,14363
SINV-78083,CUST-12161,Hyderabad,2023-07-04,14694
SINV-99362,CUST-12161,Hyderabad,2023-08-24,11131
SINV-30644,CUST-12161,Hyderabad,2023-08-27,15622
SINV-35757,CUST-12161,Hyderabad,2023-09-09,8648
SINV-96549,CUST-12161,Hyderabad,2023-07-30,9973
SINV-38579,CUST-10177,Chennai,2023-10-06,709
SINV-87755,CUST-10177,Chennai,2024-08-30,714
SINV-69807,CUST-10177,Chennai,2023-08-26,732
SINV-93949,CUST-10177,Chennai,2024-04-13,769
SINV-96769,CUST-10177,Chennai,2024-03-11,763
SINV-15185,CUST-10177,Chennai,2024-01-16,500
SINV-57098,CUST-13754,Coimbatore,2024-07-13,11809
SINV-81963,CUST-13754,Coimbatore,2023-12-08,23360
SINV-62229,CUST-13754,Coimbatore,2024-03-30,18718
SINV-69512,CUST-06904,Coimbatore,2025-03-03,22686
SINV-48291,CUST-06904,Coimbatore,2024-08-06,32204
SINV-82684,CUST-06904,Coimbatore,2024-05-19,26020
SINV-79395,CUST-06904,Coimbatore,2024-04-03,18057
SINV-28560,CUST-06904,Coimbatore,2025-02-03,21650
SINV-55503,CUST-06904,Coimbatore,2024-02-27,26670
SINV-90576,CUST-11473,Chennai,2023-07-17,5966
SINV-39876,CUST-11473,Chennai,2023-12-14,6298
SINV-67229,CUST-11473,Chennai,2023-08-08,4346
SINV-78817,CUST-11473,Chennai,2023-07-07,5401
SINV-30615,CUST-11473,Chennai,2024-01-20,3690
SINV-55082,CUST-11473,Chennai,2024-02-17,5236
SINV-41341,CUST-15850,Coimbatore,2023-07-19,55442
SINV-93994,CUST-15850,Coimbatore,2023-09-13,71449
SINV-92081,CUST-15850,Coimbatore,2023-08-17,62380
SINV-20749,CUST-02656,Mumbai,2025-03-23,3745
SINV-17356,CUST-02656,Mumbai,2024-10-08,5151
SINV-56278,CUST-02656,Mumbai,2024-02-12,2789
SINV-45169,CUST-02656,Mumbai,2024-07-26,2701
SINV-18189,CUST-02656,Mumbai,2024-05-15,5413
SINV-69878,CUST-02656,Mumbai,2025-06-04,3158
SINV-72198,CUST-15092,Chennai,2024-06-13,631
SINV-35767,CUST-15092,Chennai,2024-08-29,933
SINV-59685,CUST-15092,Chennai,2024-08-01,812
SINV-93475,CUST-15092,Chennai,2024-09-28,630
SINV-12180,CUST-15092,Chennai,2024-10-17,1034
SINV-53565,CUST-15092,Chennai,2024-03-04,599
SINV-93559,CUST-06710,Coimbatore,2024-09-28,7162
SINV-92226,CUST-06710,Coimbatore,2023-12-08,5463
SINV-48627,CUST-06710,Coimbatore,2024-06-05,4923
SINV-65650,CUST-06710,Coimbatore,2023-10-22,5613
SINV-84742,CUST-06710,Coimbatore,2024-10-29,6656
SINV-90611,CUST-06710,Coimbatore,2023-12-19,5750
SINV-38069,CUST-15286,Hyderabad,2024-04-08,5767
SINV-58424,CUST-15286,Hyderabad,2024-04-11,4872
SINV-53424,CUST-15286,Hyderabad,2024-01-21,4184
SINV-46100,CUST-15286,Hyderabad,2024-09-01,5374
SINV-41273,CUST-15286,Hyderabad,2024-09-28,4470
SINV-20560,CUST-15286,Hyderabad,2024-11-18,4893
SINV-12023,CUST-10882,Chennai,2024-11-07,14894
SINV-92353,CUST-10882,Chennai,2024-06-05,12725
SINV-32472,CUST-10882,Chennai,2025-03-15,7519
SINV-80127,CUST-10882,Chennai,2024-05-18,11668
SINV-52151,CUST-10882,Chennai,2025-05-10,7822
SINV-23588,CUST-10882,Chennai,2024-10-15,8241
SINV-14003,CUST-05888,Mumbai,2024-06-30,6092
SINV-89526,CUST-05888,Mumbai,2023-11-21,9349
SINV-56009,CUST-05888,Mumbai,2023-10-15,5160
SINV-81714,CUST-05888,Mumbai,2024-04-15,6851
SINV-10994,CUST-05888,Mumbai,2024-06-29,7398
SINV-28140,CUST-05888,Mumbai,2025-01-27,9305
SINV-85370,CUST-02732,Coimbatore,2024-02-06,2496
SINV-75462,CUST-02732,Coimbatore,2024-08-02,3058
SINV-19910,CUST-02732,Coimbatore,2024-11-10,2302
SINV-20772,CUST-02732,Coimbatore,2023-11-21,1768
SINV-75082,CUST-02732,Coimbatore,2024-11-12,2815
SINV-74006,CUST-02732,Coimbatore,2024-02-03,2746
SINV-52241,CUST-13786,Mumbai,2023-07-06,1099
SINV-90810,CUST-13786,Mumbai,2023-09-22,1477
SINV-96023,CUST-13786,Mumbai,2023-07-17,1938
SINV-75878,CUST-13786,Mumbai,2023-07-28,1344
SINV-20569,CUST-13786,Mumbai,2023-07-05,1308
SINV-67519,CUST-13786,Mumbai,2023-08-21,1549
SINV-92247,CUST-14411,Mumbai,2025-04-24,12292
SINV-70027,CUST-14411,Mumbai,2024-04-23,18879
SINV-55002,CUST-14411,Mumbai,2024-12-04,9816
SINV-66113,CUST-14411,Mumbai,2024-09-04,16237
SINV-24145,CUST-14411,Mumbai,2024-08-17,10856
SINV-75021,CUST-01242,Mumbai,2024-11-17,16731
SINV-15824,CUST-01242,Mumbai,2024-05-28,14046
SINV-24994,CUST-08930,Chennai,2024-09-18,5224
SINV-90315,CUST-08930,Chennai,2024-08-26,4800
SINV-10301,CUST-08930,Chennai,2023-12-02,3016
SINV-77619,CUST-08930,Chennai,2024-03-21,2995
SINV-99688,CUST-08930,Chennai,2025-01-26,3193
SINV-75500,CUST-08649,Coimbatore,2025-05-12,6148
SINV-88009,CUST-08649,Coimbatore,2024-04-28,5589
SINV-78407,CUST-08649,Coimbatore,2024-12-18,9835
SINV-43158,CUST-08649,Coimbatore,2024-12-02,5914
SINV-37972,CUST-08649,Coimbatore,2024-04-19,7137
SINV-95286,CUST-08649,Coimbatore,2024-06-10,7311
SINV-86486,CUST-07719,Ahmedabad,2023-07-04,29932
SINV-72725,CUST-07719,Ahmedabad,2024-04-26,56470
SINV-48256,CUST-07719,Ahmedabad,2023-09-14,31391
SINV-97224,CUST-07719,Ahmedabad,2024-07-27,29366
SINV-20134,CUST-14842,Coimbatore,2023-07-03,133640
SINV-21023,CUST-01278,Coimbatore,2024-05-16,16967
SINV-39862,CUST-01278,Coimbatore,2024-07-29,18632
SINV-20262,CUST-03339,Hyderabad,2024-04-30,3272
SINV-84867,CUST-03339,Hyderabad,2024-09-01,4820
SINV-95923,CUST-03339,Hyderabad,2024-08-16,4674
SINV-49517,CUST-03339,Hyderabad,2024-12-26,5532
SINV-72152,CUST-03339,Hyderabad,2024-06-14,4536
SINV-68794,CUST-03339,Hyderabad,2024-04-21,5194
SINV-62621,CUST-15363,Coimbatore,2023-09-08,8956
SINV-63506,CUST-15363,Coimbatore,2023-07-15,10044
SINV-42130,CUST-08744,Chennai,2024-12-18,17594
SINV-59570,CUST-08744,Chennai,2024-07-09,12999
SINV-90215,CUST-12567,Coimbatore,2024-03-07,2637
SINV-16401,CUST-12567,Coimbatore,2024-12-20,1648
SINV-64054,CUST-12567,Coimbatore,2025-03-09,1555
SINV-93506,CUST-09412,Mumbai,2024-06-21,27401
SINV-56998,CUST-09412,Mumbai,2025-01-11,25102
SINV-65097,CUST-09412,Mumbai,2024-01-14,19706
SINV-61305,CUST-09412,Mumbai,2024-03-30,14748
SINV-31228,CUST-09412,Mumbai,2023-11-01,20553
SINV-48006,CUST-09412,Mumbai,2024-04-30,17508
SINV-46887,CUST-04023,Mumbai,2024-11-14,37808
SINV-88028,CUST-07474,Chennai,2024-12-27,7698
SINV-64254,CUST-07474,Chennai,2024-11-06,6471
SINV-42258,CUST-07474,Chennai,2024-06-14,6631
SINV-64201,CUST-07474,Chennai,2024-03-27,5765
SINV-74839,CUST-07474,Chennai,2024-07-10,6259
SINV-37428,CUST-07474,Chennai,2025-03-05,4478
SINV-19272,CUST-07569,Coimbatore,2023-11-16,6656
SINV-85999,CUST-07569,Coimbatore,2024-06-22,6716
SINV-75605,CUST-07569,Coimbatore,2024-08-06,7021
SINV-41995,CUST-07569,Coimbatore,2023-10-23,8207
SINV-73684,CUST-07569,Coimbatore,2024-12-31,11548
SINV-46008,CUST-07569,Coimbatore,2024-07-26,6820
SINV-96203,CUST-12832,Chennai,2024-03-28,3301
SINV-69089,CUST-12832,Chennai,2024-03-15,2478
SINV-38418,CUST-12832,Chennai,2024-07-27,3800
SINV-67471,CUST-12832,Chennai,2024-06-03,2703
SINV-28694,CUST-12832,Chennai,2023-11-13,5129
SINV-93461,CUST-12832,Chennai,2024-03-13,3709
SINV-45931,CUST-01119,Coimbatore,2024-05-26,6046
SINV-98556,CUST-01119,Coimbatore,2024-08-22,6484
SINV-26104,CUST-01119,Coimbatore,2024-05-08,8464
SINV-15387,CUST-01119,Coimbatore,2023-10-05,7676
SINV-12033,CUST-01119,Coimbatore,2024-08-15,5896
SINV-47049,CUST-01119,Coimbatore,2024-05-16,9369
SINV-93788,CUST-15392,Coimbatore,2023-08-25,13924
SINV-16376,CUST-15392,Coimbatore,2023-07-10,10990
SINV-56907,CUST-15392,Coimbatore,2023-08-08,11125
SINV-51155,CUST-15392,Coimbatore,2023-07-19,6447
SINV-52673,CUST-15392,Coimbatore,2023-07-19,8788
SINV-20540,CUST-15392,Coimbatore,2023-07-25,10199
SINV-40528,CUST-02707,Coimbatore,2023-08-11,94259
SINV-87149,CUST-02707,Coimbatore,2023-07-04,62563
SINV-31936,CUST-02707,Coimbatore,2023-08-08,78985
SINV-63639,CUST-02707,Coimbatore,2023-07-02,74907
SINV-14704,CUST-02707,Coimbatore,2023-08-27,78454
SINV-29081,CUST-02707,Coimbatore,2023-08-14,55400
SINV-13932,CUST-15198,Coimbatore,2024-06-09,8294
SINV-51005,CUST-15198,Coimbatore,2024-03-27,4308
SINV-99411,CUST-15198,Coimbatore,2024-09-07,3934
SINV-26751,CUST-15198,Coimbatore,2025-03-07,7376
SINV-59109,CUST-02330,Coimbatore,2024-08-15,14883
SINV-12308,CUST-02330,Coimbatore,2024-02-26,13342
SINV-21574,CUST-02330,Coimbatore,2024-10-02,16306
SINV-30912,CUST-02330,Coimbatore,2024-09-16,15979
SINV-42209,CUST-02330,Coimbatore,2024-05-30,9799
SINV-94229,CUST-02330,Coimbatore,2025-03-26,10682
SINV-83934,CUST-12178,Chennai,2023-08-06,22877
SINV-54768,CUST-12178,Chennai,2024-01-02,39382
SINV-85858,CUST-12178,Chennai,2023-08-29,21913
SINV-70338,CUST-12178,Chennai,2024-03-17,22154
SINV-90381,CUST-12178,Chennai,2023-07-19,26133
SINV-51620,CUST-12178,Chennai,2023-12-12,25841
SINV-85507,CUST-01570,Hyderabad,2024-06-12,8881
SINV-92661,CUST-02659,Hyderabad,2024-11-03,688
SINV-35470,CUST-02659,Hyderabad,2024-08-26,1422
SINV-98455,CUST-02659,Hyderabad,2024-09-21,938
SINV-19810,CUST-02659,Hyderabad,2024-05-30,716
SINV-79733,CUST-02659,Hyderabad,2023-12-10,712
SINV-31260,CUST-02659,Hyderabad,2024-04-08,849
SINV-32062,CUST-12134,Coimbatore,2024-10-26,2295
SINV-51394,CUST-12134,Coimbatore,2025-01-22,2803
SINV-64417,CUST-12134,Coimbatore,2024-04-17,1467
SINV-20622,CUST-12134,Coimbatore,2024-10-04,2099
SINV-42452,CUST-12134,Coimbatore,2025-03-21,2837
SINV-29045,CUST-12134,Coimbatore,2024-10-24,2106
SINV-31209,CUST-10309,Chennai,2023-07-04,7442
SINV-87050,CUST-10309,Chennai,2024-03-12,15211
SINV-94652,CUST-10309,Chennai,2024-03-08,15317
SINV-67008,CUST-10309,Chennai,2024-02-12,13007
SINV-65770,CUST-10309,Chennai,2024-07-16,11821
SINV-63841,CUST-10309,Chennai,2024-02-19,8918
SINV-44559,CUST-07938,Chennai,2023-12-05,1640
SINV-88773,CUST-07938,Chennai,2023-08-19,1422
SINV-41381,CUST-07938,Chennai,2024-07-06,2524
SINV-58111,CUST-07938,Chennai,2024-03-09,1917
SINV-80656,CUST-07938,Chennai,2023-11-07,1292
SINV-49525,CUST-07938,Chennai,2023-08-29,2605
SINV-22807,CUST-04076,Chennai,2024-10-04,7652
SINV-48575,CUST-04076,Chennai,2024-06-12,7887
SINV-58703,CUST-04076,Chennai,2025-02-06,6960
SINV-19164,CUST-04076,Chennai,2024-09-27,11972
SINV-24197,CUST-04076,Chennai,2024-08-04,11229
SINV-29080,CUST-04076,Chennai,2025-03-25,7695
SINV-71242,CUST-01907,Chennai,2024-04-06,14939
SINV-70829,CUST-01907,Chennai,2024-11-10,14064
SINV-82536,CUST-01907,Chennai,2024-09-09,8700
SINV-37323,CUST-01907,Chennai,2024-03-21,16469
SINV-65967,CUST-01907,Chennai,2024-08-31,11198
SINV-33225,CUST-01907,Chennai,2023-11-30,18006
SINV-83523,CUST-09771,Chennai,2024-02-08,8413
SINV-12460,CUST-09771,Chennai,2024-05-01,7116
SINV-38413,CUST-09771,Chennai,2024-02-17,6289
SINV-27417,CUST-09771,Chennai,2024-02-08,9962
SINV-26320,CUST-09771,Chennai,2023-12-19,6139
SINV-92078,CUST-09771,Chennai,2024-02-22,10556
SINV-94292,CUST-09533,Mumbai,2024-09-24,2764
SINV-88080,CUST-09533,Mumbai,2024-07-12,3431
SINV-87117,CUST-09533,Mumbai,2024-02-05,3549
SINV-33354,CUST-09533,Mumbai,2024-05-18,2797
SINV-96093,CUST-09533,Mumbai,2024-11-16,3173
SINV-74640,CUST-09533,Mumbai,2024-08-07,5076
SINV-85445,CUST-13307,Ahmedabad,2023-10-04,14829
SINV-50169,CUST-13307,Ahmedabad,2023-08-03,19463
SINV-82347,CUST-13307,Ahmedabad,2023-08-10,15066
SINV-46008,CUST-13307,Ahmedabad,2023-08-11,21405
SINV-15088,CUST-00773,Chennai,2023-08-21,6629
SINV-69348,CUST-00773,Chennai,2023-09-02,12331
SINV-73913,CUST-00773,Chennai,2023-10-11,10751
SINV-25607,CUST-00773,Chennai,2023-11-20,13030
SINV-23634,CUST-00773,Chennai,2023-08-03,11705
SINV-29121,CUST-00773,Chennai,2023-07-04,10835
SINV-45050,CUST-14488,Coimbatore,2024-12-03,2100
SINV-23928,CUST-14488,Coimbatore,2024-04-12,1874
SINV-75574,CUST-14488,Coimbatore,2025-03-25,2974
SINV-20986,CUST-14488,Coimbatore,2024-08-09,2961
SINV-91956,CUST-14488,Coimbatore,2024-05-03,2108
SINV-52124,CUST-05868,Mumbai,2023-07-11,15702
SINV-41970,CUST-05868,Mumbai,2023-08-26,12356
SINV-79813,CUST-05868,Mumbai,2023-08-27,13224
SINV-70096,CUST-05868,Mumbai,2023-07-14,13324
SINV-53200,CUST-05868,Mumbai,2023-08-07,13104
SINV-74520,CUST-05868,Mumbai,2023-08-03,10274
SINV-94125,CUST-05383,Coimbatore,2023-08-17,3684
SINV-90062,CUST-05383,Coimbatore,2023-08-27,3207
SINV-38947,CUST-05383,Coimbatore,2023-09-09,5870
SINV-30967,CUST-05383,Coimbatore,2023-09-13,3071
SINV-60226,CUST-05383,Coimbatore,2023-07-01,4455
SINV-22420,CUST-05383,Coimbatore,2023-08-04,5938
SINV-48451,CUST-01226,Chennai,2024-10-05,11735
SINV-35251,CUST-01226,Chennai,2025-03-22,10221
SINV-83292,CUST-01226,Chennai,2024-08-29,12731
SINV-10957,CUST-01226,Chennai,2024-06-18,13847
SINV-81433,CUST-01226,Chennai,2025-04-25,8007
SINV-50635,CUST-01226,Chennai,2024-05-28,8411
SINV-55897,CUST-00147,Chennai,2025-04-12,21029
SINV-58913,CUST-00147,Chennai,2024-04-28,12462
SINV-57515,CUST-04262,Chennai,2023-11-18,78177
SINV-42898,CUST-04262,Chennai,2024-12-06,86807
SINV-86235,CUST-04262,Chennai,2024-07-20,97609
SINV-80181,CUST-04262,Chennai,2024-04-17,76333
SINV-45411,CUST-04262,Chennai,2024-06-26,70948
SINV-80219,CUST-04262,Chennai,2024-08-04,78900
SINV-97036,CUST-08864,Coimbatore,2023-11-01,28564
SINV-48301,CUST-08864,Coimbatore,2023-08-05,24788
SINV-51535,CUST-08864,Coimbatore,2023-09-03,29114
SINV-43635,CUST-08864,Coimbatore,2024-03-14,37113
SINV-18909,CUST-08864,Coimbatore,2024-05-25,34726
SINV-59978,CUST-08864,Coimbatore,2023-08-31,27812
SINV-78633,CUST-00605,Chennai,2023-08-10,18121
SINV-16507,CUST-00605,Chennai,2023-07-16,19235
SINV-28283,CUST-00605,Chennai,2023-07-03,29091
SINV-82257,CUST-00605,Chennai,2024-02-19,22425
SINV-94520,CUST-00605,Chennai,2023-07-30,29143
SINV-33925,CUST-00605,Chennai,2023-08-23,20975
SINV-35451,CUST-07455,Ahmedabad,2023-08-18,3200
SINV-20670,CUST-07455,Ahmedabad,2023-10-15,3573
SINV-13261,CUST-07455,Ahmedabad,2023-07-31,3673
SINV-90047,CUST-07455,Ahmedabad,2023-08-26,3687
SINV-19889,CUST-07455,Ahmedabad,2024-01-07,3535
SINV-96986,CUST-07455,Ahmedabad,2024-02-08,4006
SINV-44228,CUST-12292,Ahmedabad,2024-01-27,3098
SINV-98803,CUST-12292,Ahmedabad,2023-08-28,4584
SINV-20077,CUST-12292,Ahmedabad,2023-07-15,4409
SINV-15592,CUST-15739,Chennai,2023-07-02,7410
SINV-54678,CUST-15739,Chennai,2023-07-27,5116
SINV-55904,CUST-15739,Chennai,2023-08-17,5103
SINV-95994,CUST-15739,Chennai,2023-07-03,5946
SINV-49495,CUST-15739,Chennai,2023-07-25,7898
SINV-19301,CUST-15739,Chennai,2023-07-13,3709
SINV-73977,CUST-07453,Hyderabad,2023-10-12,22297
SINV-72431,CUST-07453,Hyderabad,2023-07-04,19059
SINV-74508,CUST-14327,Chennai,2024-09-03,54376
SINV-63390,CUST-14327,Chennai,2024-03-13,54996
SINV-62978,CUST-14327,Chennai,2024-01-26,50654
SINV-39412,CUST-14327,Chennai,2024-03-27,42681
SINV-66887,CUST-14327,Chennai,2024-01-27,25031
SINV-20879,CUST-04747,Coimbatore,2024-08-30,3202
SINV-36024,CUST-04747,Coimbatore,2024-10-09,4038
SINV-11896,CUST-04747,Coimbatore,2024-02-07,3034
SINV-44105,CUST-04747,Coimbatore,2024-06-02,3545
SINV-24416,CUST-04747,Coimbatore,2024-02-09,1848
SINV-83952,CUST-04747,Coimbatore,2024-06-09,3241
SINV-38170,CUST-03293,Hyderabad,2024-01-22,107277
SINV-21700,CUST-03293,Hyderabad,2024-11-25,100802
SINV-39585,CUST-03293,Hyderabad,2023-12-31,93354
SINV-32537,CUST-15250,Coimbatore,2024-07-30,1735
SINV-81529,CUST-15250,Coimbatore,2024-10-07,1265
SINV-70948,CUST-15250,Coimbatore,2024-11-18,1719
SINV-53424,CUST-15250,Coimbatore,2024-05-25,914
SINV-40411,CUST-15250,Coimbatore,2024-09-05,1189
SINV-46271,CUST-15250,Coimbatore,2024-02-11,1726
SINV-45305,CUST-13445,Ahmedabad,2024-01-28,25265
SINV-21687,CUST-13445,Ahmedabad,2023-11-22,22135
SINV-45254,CUST-13445,Ahmedabad,2024-04-12,16489
SINV-63332,CUST-13445,Ahmedabad,2024-01-17,22254
SINV-77349,CUST-13445,Ahmedabad,2024-06-13,23163
SINV-48775,CUST-13445,Ahmedabad,2023-10-15,13531
SINV-39000,CUST-11647,Chennai,2024-02-27,15613
SINV-94655,CUST-11647,Chennai,2024-06-22,9165
SINV-12276,CUST-11647,Chennai,2024-12-31,16890
SINV-17661,CUST-11431,Hyderabad,2024-12-13,5475
SINV-67615,CUST-11431,Hyderabad,2024-11-04,5675
SINV-32960,CUST-11431,Hyderabad,2025-03-13,5958
SINV-88007,CUST-11431,Hyderabad,2024-02-13,5698
SINV-93018,CUST-11431,Hyderabad,2025-05-02,7096
SINV-28107,CUST-11431,Hyderabad,2025-04-09,7388
